編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLQJNHLFFEA38CC,12,27.20,共用部分,鋼骨鋼筋混凝土造,93年5月18日,十四層,
RPTNMLQJNHLFFEA38CC,12,8.91,共用部分,鋼骨鋼筋混凝土造,93年5月18日,十四層,
RPTNMLQJNHLFFEA38CC,12,18.07,共用部分,鋼骨鋼筋混凝土造,93年5月18日,十四層,
RPTNMLQJNHLFFEA38CC,12,2.27,共用部分,鋼骨鋼筋混凝土造,93年5月18日,十四層,
RPWNMLQJNHLFFEA68CC,14,126.39,住家用,鋼筋混凝土造,91年1月25日,七層,
RPWNMLQJNHLFFEA68CC,14,48.52,共用部分,鋼筋混凝土造,91年1月25日,七層,
RPWNMLQJNHLFFEA68CC,14,9.63,共用部分,鋼筋混凝土造,91年1月25日,七層,
RPOOMLQJNHLFFEA97CC,4,113.88,住家用,鋼筋混凝土造,101年5月22日,十三層,
RPOOMLQJNHLFFEA97CC,4,19.07,見其他登記事項,鋼筋混凝土造,101年5月22日,十三層,
RPOOMLQJNHLFFEA97CC,4,34.90,見其他登記事項,鋼筋混凝土造,101年5月22日,十三層,
RPPOMLQJNHLFFEA08CC,30,106.21,商業用,鋼筋混凝土造,75年3月21日,七層,
RPPOMLQJNHLFFEA08CC,30,7.94,共用部分,鋼筋混凝土造,75年3月21日,七層,
RPQOMLQJNHLFFEA18CC,12,114.79,住家用,鋼骨鋼筋混凝土造,93年5月18日,十四層,
RPQOMLQJNHLFFEA18CC,12,29.94,共用部分,鋼骨鋼筋混凝土造,93年5月18日,十四層,
RPQOMLQJNHLFFEA18CC,12,4.59,共用部分,鋼骨鋼筋混凝土造,93年5月18日,十四層,
RPQOMLQJNHLFFEA18CC,12,17.46,共用部分,鋼骨鋼筋混凝土造,93年5月18日,十四層,
RPQOMLQJNHLFFEA18CC,12,2.39,共用部分,鋼骨鋼筋混凝土造,93年5月18日,十四層,
RPRPMLQJNHLFFEA38CC,28,74.19,住家用,鋼筋混凝土造,77年8月27日,四層,
RPRPMLQJNHLFFEA38CC,28,4.56,共用部分,鋼筋混凝土造,77年8月27日,四層,
RPTPMLQJNHLFFEA58CC,31,132.34,住家用,鋼筋混凝土造,73年10月30日,七層,
RPTPMLQJNHLFFEA58CC,31,19.56,共用部分,鋼筋混凝土造,73年10月30日,七層,
RPUPMLQJNHLFFEA68CC,20,152.07,住家用,鋼骨混凝土造,84年11月3日,二十六層,
RPUPMLQJNHLFFEA68CC,20,40.33,共用部分,鋼骨混凝土造,84年11月3日,二十六層,
RPUPMLQJNHLFFEA68CC,20,48.46,共用部分,鋼骨混凝土造,84年11月3日,二十六層,
RPVPMLQJNHLFFEA78CC,3,112.25,住家用,鋼筋混凝土造,102年10月7日,七層,
RPVPMLQJNHLFFEA78CC,3,55.13,見其他登記事項,鋼筋混凝土造,102年10月7日,七層,
RPWPMLQJNHLFFEA88CC,5,120.28,住家用,鋼筋混凝土造,99年11月15日,十三層,
RPWPMLQJNHLFFEA88CC,5,24.30,見其他登記事項,鋼筋混凝土造,99年11月15日,十三層,
